run_name,epoch,global_step,train_loss,val_loss_letter,val_mc_accuracy,val_mc_nll,lr,trainable_params,lora_r,context_mode
qlora_layers_q,1,39,1.093110044765319,2.2515326474459116,0.5209923664122137,0.9341614785540195,9.371733080722911e-05,4784128,8,q_choices
qlora_layers_q,2,78,0.8322362520303757,1.9664710250519615,0.558206106870229,0.8861943667626563,6.971779275566593e-05,4784128,8,q_choices
qlora_layers_q,3,117,0.7025085004387944,1.5018303476217139,0.5944656488549618,0.8585542661088114,3.746737338706397e-05,4784128,8,q_choices
qlora_layers_q,4,156,0.6202767022744635,1.3055843258177051,0.601145038167939,0.8595403007423604,1.046121315311508e-05,4784128,8,q_choices
qlora_layers_q,5,195,0.5862842314304646,1.311301917065191,0.5830152671755725,0.855538779940769,0.0,4784128,8,q_choices
qlora_layers_q_hint,1,39,0.9650534891622243,1.4783041063155837,0.5648854961832062,0.8982927869749433,9.371733080722911e-05,4784128,8,q_hint
qlora_layers_q_hint,2,78,0.6965875654358572,1.0401383843130738,0.6230916030534351,0.7955699197891104,6.971779275566593e-05,4784128,8,q_hint
qlora_layers_q_hint,3,117,0.6067364813813826,0.9279864389477795,0.6583969465648855,0.7747080595097469,3.746737338706397e-05,4784128,8,q_hint
qlora_layers_q_hint,4,156,0.574182698485169,0.8979269097210797,0.6631679389312977,0.7530361619841961,1.046121315311508e-05,4784128,8,q_hint
qlora_layers_q_hint,5,195,0.5444200246855377,0.8926328981423196,0.6612595419847328,0.7525881090350733,0.0,4784128,8,q_hint
qlora_layers_q_hint_lecture,1,39,0.9566627008738625,1.7827684292356476,0.5954198473282443,0.8390566526933481,9.371733080722911e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,2,78,0.7098360500535015,1.0129730949420055,0.6307251908396947,0.7509819403404497,6.971779275566593e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,3,117,0.6468456230362896,1.094155301119535,0.6755725190839694,0.7090726246815602,3.746737338706397e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,4,156,0.542147176442039,0.9903436116589844,0.6631679389312977,0.7002989223781433,1.046121315311508e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,5,195,0.5232993462557195,0.9856230375420956,0.6679389312977099,0.6986380599951016,0.0,4784128,8,q_hint_lecture
