run_name,epoch,global_step,train_loss,val_loss_letter,val_mc_accuracy,val_mc_nll,lr,trainable_params,dora_r,context_mode
qdora_layers_q_hint_lecture,1,195,0.7756500787560907,0.8252115993554355,0.6908396946564885,0.671670010981669,9.931144006653531e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,2,390,0.5128490852318457,0.6399145198929059,0.7566793893129771,0.5332835852683927,9.395668845354979e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,3,585,0.4160282569477588,0.5423151720177475,0.7881679389312977,0.5282264234323076,8.384109442413457e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,4,780,0.34637468197628923,0.4962780260852403,0.7862595419847328,0.4680078699238392,7.006025345685974e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,5,975,0.2801026844476979,0.5241586995391451,0.8139312977099237,0.514156856116677,5.410673504499829e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,6,1170,0.24875599101175025,0.6692884046330987,0.8072519083969466,0.6599018025871936,3.770842611130474e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,7,1365,0.22013593698754522,0.5667886875869412,0.8244274809160306,0.5553283484403034,2.264138776219622e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,8,1560,0.18195987674700104,0.6468379133162698,0.833969465648855,0.6392078879055846,1.0537494412830534e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,9,1755,0.17269548338693488,0.6503147883685908,0.8320610687022901,0.6428943255282008,2.7076894233403207e-06,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,10,1950,0.17527275780741883,0.648813448092973,0.8320610687022901,0.6415967805001883,0.0,4750336,8,q_hint_lecture
