run_name,epoch,global_step,train_loss,val_loss_letter,val_mc_accuracy,val_mc_nll,lr,trainable_params,lora_r,context_mode
qlora_q_hint_lecture,1,195,0.777919833061587,0.7926207329537577,0.6956106870229007,0.6416756160528833,9.931144006653531e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,2,390,0.527593367082124,0.6659600121601847,0.7318702290076335,0.5939542749071963,9.395668845354979e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,3,585,0.412396345942992,0.6459907024515835,0.7690839694656488,0.5206934542107247,8.384109442413457e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,4,780,0.33565504941639984,0.5589108202328287,0.7872137404580153,0.5193912668182747,7.006025345685974e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,5,975,0.2836264151507929,0.5526559264496864,0.808206106870229,0.5205956875276174,5.410673504499829e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,6,1170,0.23255995690139086,0.5873555796876735,0.8110687022900763,0.5639217627314292,3.770842611130474e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,7,1365,0.18187658590369304,0.6319699346540871,0.8158396946564885,0.6143380085326055,2.264138776219622e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,8,1560,0.17186537589712877,0.7133426214158419,0.8272900763358778,0.6938284930958116,1.0537494412830534e-05,4161536,16,q_hint_lecture
qlora_q_hint_lecture,9,1755,0.16644707960868887,0.7176901562569729,0.8330152671755725,0.6964496685248669,2.7076894233403207e-06,4161536,16,q_hint_lecture
qlora_q_hint_lecture,10,1950,0.144171599159555,0.731529887508266,0.8301526717557252,0.7095413704111554,0.0,4161536,16,q_hint_lecture
